<!--
  【本表定位】全量附录 —— Zephyr 全库 11932 个 Kconfig 符号的机器导出结果，供按名检索。
              需要「决策」信息请看同目录 config.csv（人工精写的 作用 / 备注·约束）。
  【生成方式】由 Kconfig 树文本解析（名称/类型/定义位置/默认值/依赖/help 原文），
              叠加 build/zephyr/.config 的实际取值与手写 .conf 的设置来源。
              重新生成：python3 tools/gen_config_csv.py
  【定义位置】按 AE103 视角优先级排序：本平台(0) > arch/riscv(1) > 内核·子系统(2) > 其他平台(3) > samples/tests(4)。
              同一符号多处定义时，「|」分隔，最前面那处即主定义。
  【默认值】分两列：「主定义处」是优先级最高那处写的 default（该处没写则标注隐式默认）；
            「全部定义处」是所有平台 default 的并集，用于追查同名符号的跨平台差异。
-->
配置项,类别,类型,定义位置(Kconfig:行),默认值(主定义处),默认值(全部定义处),AE103当前值,设置来源,作用(Kconfig help 原文),依赖(depends on)
CONFIG_BOARD_INTEL_ISH_5_8_0,boards/x86,bool,boards/x86/intel_ish/Kconfig.board:14,n（隐式）,—,—(未定义/依赖不满足),,,SOC_INTEL_ISH_5_8_0
CONFIG_BOARD_INTEL_RPL_P_CRB,boards/x86,bool,boards/x86/intel_rpl/Kconfig.board:10,n（隐式）,—,—(未定义/依赖不满足),,,SOC_RAPTOR_LAKE
CONFIG_BOARD_INTEL_RPL_S_CRB,boards/x86,bool,boards/x86/intel_rpl/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_RAPTOR_LAKE
CONFIG_BOARD_INTEL_SOCFPGA_AGILEX5_SOCDK,boards/arm64,bool,boards/arm64/intel_socfpga_agilex5_socdk/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_AGILEX5
CONFIG_BOARD_INTEL_SOCFPGA_AGILEX_SOCDK,boards/arm64,bool,boards/arm64/intel_socfpga_agilex_socdk/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_AGILEX
CONFIG_BOARD_IOTDK,boards/arc,bool,boards/arc/iotdk/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,"The DesignWare ARC IoT Development Kit board is a versatile platform that includes the necessary hardware and software to accelerate software development and debugging of sensor fusion, voice recognition and face detection designs. It includes a silicon implementation of the ARC Data Fusion IP Subsystem running at 144 MHz on SMIC's 55-nm ultra-low power process, and a rich set of peripherals commonly used in IoT designs such as USB, UART, SPI, I2C, PWM, SDIO and ADCs.",SOC_ARC_IOT
CONFIG_BOARD_IP_K66F,boards/arm,bool,boards/arm/ip_k66f/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_KINETIS_K6X
CONFIG_BOARD_IT82XX2_EVB,boards/riscv,bool,boards/riscv/it82xx2_evb/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_IT8XXX2
CONFIG_BOARD_IT8XXX2_EVB,boards/riscv,bool,boards/riscv/it8xxx2_evb/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_IT8XXX2
CONFIG_BOARD_KHADAS_EDGEV,boards/arm64,bool,boards/arm64/khadas_edgev/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_RK3399
CONFIG_BOARD_KINCONY_KC868_A32,boards/xtensa,bool,boards/xtensa/kincony_kc868_a32/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_ESP32
CONFIG_BOARD_KV260_R5,boards/arm,bool,boards/arm/kv260_r5/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_XILINX_ZYNQMP_RPU
CONFIG_BOARD_LEGEND,boards/arm,bool,boards/arm/legend/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32F070XB
CONFIG_BOARD_LITEX_VEXRISCV,boards/riscv,bool,boards/riscv/litex_vexriscv/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_RISCV32_LITEX_VEXRISCV
CONFIG_BOARD_LOG_LEVEL,应用层 Kconfig,int,ecfw-zephyr/Kconfig:45,2 if EC_DEBUG_LOG | 0,2 if EC_DEBUG_LOG | 0,2,,Set log level for board initialization module.,LOG
CONFIG_BOARD_LONGAN_NANO,boards/riscv,bool,boards/riscv/longan_nano/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_GD32VF103
CONFIG_BOARD_LONGAN_NANO_LITE,boards/riscv,bool,boards/riscv/longan_nano/Kconfig.board:8,n（隐式）,—,—(未定义/依赖不满足),,,SOC_GD32VF103
CONFIG_BOARD_LORA_E5_DEV_BOARD,boards/arm,bool,boards/arm/lora_e5_dev_board/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32WLE5XX
CONFIG_BOARD_LORA_E5_MINI,boards/arm,bool,boards/arm/lora_e5_mini/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32WLE5XX
CONFIG_BOARD_LPCXPRESSO11U68,boards/arm,bool,boards/arm/lpcxpresso11u68/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_LPC11U6X
CONFIG_BOARD_LPCXPRESSO51U68,boards/arm,bool,boards/arm/lpcxpresso51u68/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_LPC51U68
CONFIG_BOARD_LPCXPRESSO54114_M0,boards/arm,bool,boards/arm/lpcxpresso54114/Kconfig.board:11,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_LPC54XXX
CONFIG_BOARD_LPCXPRESSO54114_M4,boards/arm,bool,boards/arm/lpcxpresso54114/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_LPC54XXX
CONFIG_BOARD_LPCXPRESSO55S06,boards/arm,bool,boards/arm/lpcxpresso55s06/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_LPC55XXX
CONFIG_BOARD_LPCXPRESSO55S16,boards/arm,bool,boards/arm/lpcxpresso55s16/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_LPC55XXX
CONFIG_BOARD_LPCXPRESSO55S28,boards/arm,bool,boards/arm/lpcxpresso55s28/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_LPC55XXX
CONFIG_BOARD_LPCXPRESSO55S36,boards/arm,bool,boards/arm/lpcxpresso55s36/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_LPC55XXX
CONFIG_BOARD_LPCXPRESSO55S69_CPU0,boards/arm,bool,boards/arm/lpcxpresso55s69/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_LPC55XXX
CONFIG_BOARD_LPCXPRESSO55S69_CPU1,boards/arm,bool,boards/arm/lpcxpresso55s69/Kconfig.board:11,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_LPC55XXX
CONFIG_BOARD_M2GL025_MIV,boards/riscv,bool,boards/riscv/m2gl025_miv/Kconfig.board:3,n（隐式）,—,—(未定义/依赖不满足),,,SOC_MIV
CONFIG_BOARD_M5STACK_ATOMS3,boards/xtensa,bool,boards/xtensa/m5stack_atoms3/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_ESP32S3
CONFIG_BOARD_M5STACK_ATOMS3_LITE,boards/xtensa,bool,boards/xtensa/m5stack_atoms3_lite/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_ESP32S3
CONFIG_BOARD_M5STACK_CORE2,boards/xtensa,bool,boards/xtensa/m5stack_core2/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_ESP32
CONFIG_BOARD_M5STACK_STAMPS3,boards/xtensa,bool,boards/xtensa/m5stack_stamps3/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_ESP32S3
CONFIG_BOARD_M5STICKC_PLUS,boards/xtensa,bool,boards/xtensa/m5stickc_plus/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_ESP32
CONFIG_BOARD_MEC1501MODULAR_ASSY6885,boards/arm,bool,boards/arm/mec1501modular_assy6885/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_MEC1501_HSZ
CONFIG_BOARD_MEC15XXEVB_ASSY6853,boards/arm,bool,boards/arm/mec15xxevb_assy6853/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_MEC1501_HSZ
CONFIG_BOARD_MEC172XEVB_ASSY6906,boards/arm,bool,boards/arm/mec172xevb_assy6906/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_MEC172X_NSZ
CONFIG_BOARD_MEC172XLJ_MTL_TEMPLATE,应用层 out_of_tree_boards/boards,bool,ecfw-zephyr/out_of_tree_boards/boards/arm/mec172x_lj_mtl_template/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_MEC172X_NLJ
CONFIG_BOARD_MEC172XMODULAR_ASSY6930,boards/arm,bool,boards/arm/mec172xmodular_assy6930/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_MEC172X_NSZ
CONFIG_BOARD_MEC172X_MTL_S,应用层 out_of_tree_boards/boards,bool,ecfw-zephyr/out_of_tree_boards/boards/arm/mec172x_mtl_s/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_MEC172X_NSZ
CONFIG_BOARD_MEC172X_PTL_UH,应用层 out_of_tree_boards/boards,bool,ecfw-zephyr/out_of_tree_boards/boards/arm/mec172x_ptl_uh/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_MEC172X_NSZ
CONFIG_BOARD_MERCURY_XU,boards/arm,bool,boards/arm/mercury_xu/Kconfig.board:3,n（隐式）,—,—(未定义/依赖不满足),,,SOC_XILINX_ZYNQMP_RPU
CONFIG_BOARD_MG100,boards/arm,bool,boards/arm/mg100/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF52840_QIAA
CONFIG_BOARD_MIKROE_CLICKER_2,boards/arm,bool,boards/arm/mikroe_clicker_2/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32F407XG
CONFIG_BOARD_MIKROE_MINI_M4_FOR_STM32,boards/arm,bool,boards/arm/mikroe_mini_m4_for_stm32/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32F415XX
CONFIG_BOARD_MIMX8MM_EVK,boards/arm,bool,boards/arm/mimx8mm_evk/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_IMX8MM_M4
CONFIG_BOARD_MIMX8MM_EVK_A53,boards/arm64,bool,boards/arm64/mimx8mm_evk/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_MIMX8M_A53
CONFIG_BOARD_MIMX8MM_PHYBOARD_POLIS,boards/arm,bool,boards/arm/mimx8mm_phyboard_polis/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_IMX8MM_M4
CONFIG_BOARD_MIMX8MN_EVK_A53,boards/arm64,bool,boards/arm64/mimx8mn_evk/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_MIMX8M_A53
CONFIG_BOARD_MIMX8MP_EVK,boards/arm,bool,boards/arm/mimx8mp_evk/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_IMX8ML_M7
CONFIG_BOARD_MIMX8MP_EVK_A53,boards/arm64,bool,boards/arm64/mimx8mp_evk/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_MIMX8M_A53
CONFIG_BOARD_MIMX8MP_PHYBOARD_POLLUX,boards/arm,bool,boards/arm/mimx8mp_phyboard_pollux/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_IMX8ML_M7
CONFIG_BOARD_MIMX8MQ_EVK_CM4,boards/arm,bool,boards/arm/mimx8mq_evk/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_IMX8MQ_M4
CONFIG_BOARD_MIMX93_EVK_A55,boards/arm64,bool,boards/arm64/mimx93_evk/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_MIMX9_A55
CONFIG_BOARD_MIMXRT1010_EVK,boards/arm,bool,boards/arm/mimxrt1010_evk/Kconfig.board:7,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_IMX_RT
CONFIG_BOARD_MIMXRT1015_EVK,boards/arm,bool,boards/arm/mimxrt1015_evk/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_IMX_RT
CONFIG_BOARD_MIMXRT1020_EVK,boards/arm,bool,boards/arm/mimxrt1020_evk/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_IMX_RT
CONFIG_BOARD_MIMXRT1024_EVK,boards/arm,bool,boards/arm/mimxrt1024_evk/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_IMX_RT
CONFIG_BOARD_MIMXRT1040_EVK,boards/arm,bool,boards/arm/mimxrt1040_evk/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_IMX_RT
CONFIG_BOARD_MIMXRT1050_EVK,boards/arm,bool,boards/arm/mimxrt1050_evk/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_IMX_RT
CONFIG_BOARD_MIMXRT1050_EVK_QSPI,boards/arm,bool,boards/arm/mimxrt1050_evk/Kconfig.board:9,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_IMX_RT
CONFIG_BOARD_MIMXRT1060_EVK,boards/arm,bool,boards/arm/mimxrt1060_evk/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_IMX_RT
CONFIG_BOARD_MIMXRT1060_EVKB,boards/arm,bool,boards/arm/mimxrt1060_evk/Kconfig.board:14,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_IMX_RT
CONFIG_BOARD_MIMXRT1060_EVK_HYPERFLASH,boards/arm,bool,boards/arm/mimxrt1060_evk/Kconfig.board:9,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_IMX_RT
CONFIG_BOARD_MIMXRT1062_FMURT6,boards/arm,bool,boards/arm/mimxrt1062_fmurt6/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_IMX_RT
CONFIG_BOARD_MIMXRT1064_EVK,boards/arm,bool,boards/arm/mimxrt1064_evk/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_IMX_RT
CONFIG_BOARD_MIMXRT1160_EVK_CM4,boards/arm,bool,boards/arm/mimxrt1160_evk/Kconfig.board:9,n（隐式）,—,—(未定义/依赖不满足),,,SOC_MIMXRT1166_CM4
CONFIG_BOARD_MIMXRT1160_EVK_CM7,boards/arm,bool,boards/arm/mimxrt1160_evk/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_MIMXRT1166_CM7
CONFIG_BOARD_MIMXRT1170_EVKB_CM4,boards/arm,bool,boards/arm/mimxrt1170_evk/Kconfig.board:19,n（隐式）,—,—(未定义/依赖不满足),,,SOC_MIMXRT1176_CM4
CONFIG_BOARD_MIMXRT1170_EVKB_CM7,boards/arm,bool,boards/arm/mimxrt1170_evk/Kconfig.board:14,n（隐式）,—,—(未定义/依赖不满足),,,SOC_MIMXRT1176_CM7
CONFIG_BOARD_MIMXRT1170_EVK_CM4,boards/arm,bool,boards/arm/mimxrt1170_evk/Kconfig.board:9,n（隐式）,—,—(未定义/依赖不满足),,,SOC_MIMXRT1176_CM4
CONFIG_BOARD_MIMXRT1170_EVK_CM7,boards/arm,bool,boards/arm/mimxrt1170_evk/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_MIMXRT1176_CM7
CONFIG_BOARD_MIMXRT595_EVK,boards/arm,bool,boards/arm/mimxrt595_evk/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_IMX_RT5XX
CONFIG_BOARD_MIMXRT685_EVK,boards/arm,bool,boards/arm/mimxrt685_evk/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_IMX_RT6XX
CONFIG_BOARD_MM_FEATHER,boards/arm,bool,boards/arm/mm_feather/Kconfig.board:7,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_IMX_RT
CONFIG_BOARD_MM_SWIFTIO,boards/arm,bool,boards/arm/mm_swiftio/Kconfig.board:7,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_IMX_RT
CONFIG_BOARD_MPFS_ICICLE,boards/riscv,bool,boards/riscv/mpfs_icicle/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_POLARFIRE
CONFIG_BOARD_MPS2_AN385,boards/arm,bool,boards/arm/mps2_an385/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_MPS2_AN385
CONFIG_BOARD_MPS2_AN521_CPU0,boards/arm,bool,boards/arm/mps2_an521/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_MPS2_AN521_CPU0
CONFIG_BOARD_MPS2_AN521_CPU0_NS,boards/arm,bool,boards/arm/mps2_an521/Kconfig.board:10,n（隐式）,—,—(未定义/依赖不满足),,,SOC_MPS2_AN521_CPU0
CONFIG_BOARD_MPS2_AN521_CPU1,boards/arm,bool,boards/arm/mps2_an521/Kconfig.board:16,n（隐式）,—,—(未定义/依赖不满足),,,SOC_MPS2_AN521_CPU1
CONFIG_BOARD_MPS3_AN547,boards/arm,bool,boards/arm/mps3_an547/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_MPS3_AN547
CONFIG_BOARD_MR_CANHUBK3,boards/arm,bool,boards/arm/mr_canhubk3/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_S32K3XX
CONFIG_BOARD_MSP_EXP432P401R_LAUNCHXL,boards/arm,bool,boards/arm/msp_exp432p401r_launchxl/Kconfig.board:5,n（隐式）,—,—(未定义/依赖不满足),,,SOC_MSP432P401R
CONFIG_BOARD_MUSCA_B1,boards/arm,bool,boards/arm/v2m_musca_b1/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_MUSCA_B1
CONFIG_BOARD_MUSCA_S1,boards/arm,bool,boards/arm/v2m_musca_s1/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_MUSCA_S1
CONFIG_BOARD_NATIVE_POSIX,boards/posix,bool,boards/posix/native_posix/Kconfig:3 | boards/posix/native_sim/Kconfig:38,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_BOARD_NATIVE_POSIX_32BIT,boards/posix,bool,boards/posix/native_posix/Kconfig.board:3,n（隐式）,—,—(未定义/依赖不满足),,"Will produce a console Linux process which can be executed natively as a 32-bit executable. It provides some minimal needed models: An interrupt controller, timer (system tick), and redirects kernel prints to stdout.",SOC_POSIX
CONFIG_BOARD_NATIVE_POSIX_64BIT,boards/posix,bool,boards/posix/native_posix/Kconfig.board:14,n（隐式）,—,—(未定义/依赖不满足),,"Will produce a console Linux process which can be executed natively as a 64-bit executable. It provides some minimal needed models: An interrupt controller, timer (system tick), and redirects kernel prints to stdout.",SOC_POSIX
CONFIG_BOARD_NATIVE_SIM,boards/posix,bool,boards/posix/native_sim/Kconfig:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_POSIX
CONFIG_BOARD_NATIVE_SIM_32BIT,boards/posix,bool,boards/posix/native_sim/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,Will produce a console Linux process which can be executed natively as a 32-bit executable.,
CONFIG_BOARD_NATIVE_SIM_64BIT,boards/posix,bool,boards/posix/native_sim/Kconfig.board:11,n（隐式）,—,—(未定义/依赖不满足),,Will produce a console Linux process which can be executed natively as a 64-bit executable.,
CONFIG_BOARD_NEORV32,boards/riscv,bool,boards/riscv/neorv32/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NEORV32
CONFIG_BOARD_NIOSV_G,boards/riscv,bool,boards/riscv/niosv_g/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NIOSV_G
CONFIG_BOARD_NIOSV_M,boards/riscv,bool,boards/riscv/niosv_m/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NIOSV_M
CONFIG_BOARD_NPCX4M8F_EVB,boards/arm,bool,boards/arm/npcx4m8f_evb/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NPCX4M8F
CONFIG_BOARD_NPCX4M8F_PTL,应用层 out_of_tree_boards/boards,bool,ecfw-zephyr/out_of_tree_boards/boards/arm/npcx4m8f_ptl/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NPCX4M8F
CONFIG_BOARD_NPCX7M6FB_EVB,boards/arm,bool,boards/arm/npcx7m6fb_evb/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NPCX7M6FB
CONFIG_BOARD_NPCX9M6F_EVB,boards/arm,bool,boards/arm/npcx9m6f_evb/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NPCX9M6F
CONFIG_BOARD_NRF21540DK_NRF52840,boards/arm,bool,boards/arm/nrf21540dk_nrf52840/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF52840_QIAA
CONFIG_BOARD_NRF51DK_NRF51422,boards/arm,bool,boards/arm/nrf51dk_nrf51422/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF51822_QFAC
CONFIG_BOARD_NRF51DONGLE_NRF51422,boards/arm,bool,boards/arm/nrf51dongle_nrf51422/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF51822_QFAC
CONFIG_BOARD_NRF51_BLE400,boards/arm,bool,boards/arm/nrf51_ble400/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF51822_QFAC
CONFIG_BOARD_NRF51_BLENANO,boards/arm,bool,boards/arm/nrf51_blenano/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF51822_QFAA
CONFIG_BOARD_NRF51_VBLUNO51,boards/arm,bool,boards/arm/nrf51_vbluno51/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF51822_QFAC
CONFIG_BOARD_NRF52832_MDK,boards/arm,bool,boards/arm/nrf52832_mdk/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF52832_QFAA
CONFIG_BOARD_NRF52833DK_NRF52820,boards/arm,bool,boards/arm/nrf52833dk_nrf52820/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF52820_QDAA
CONFIG_BOARD_NRF52833DK_NRF52833,boards/arm,bool,boards/arm/nrf52833dk_nrf52833/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF52833_QIAA
CONFIG_BOARD_NRF52840DK_NRF52811,boards/arm,bool,boards/arm/nrf52840dk_nrf52811/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF52811_QFAA
CONFIG_BOARD_NRF52840DK_NRF52840,boards/arm,bool,boards/arm/nrf52840dk_nrf52840/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF52840_QIAA
CONFIG_BOARD_NRF52840DONGLE_NRF52840,boards/arm,bool,boards/arm/nrf52840dongle_nrf52840/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF52840_QIAA
CONFIG_BOARD_NRF52840_BLIP,boards/arm,bool,boards/arm/nrf52840_blip/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF52840_QIAA
CONFIG_BOARD_NRF52840_MDK,boards/arm,bool,boards/arm/nrf52840_mdk/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF52840_QIAA
CONFIG_BOARD_NRF52840_MDK_USB_DONGLE,boards/arm,bool,boards/arm/nrf52840_mdk_usb_dongle/Kconfig.board:7,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF52840_QIAA
CONFIG_BOARD_NRF52840_PAPYR,boards/arm,bool,boards/arm/nrf52840_papyr/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF52840_QIAA
CONFIG_BOARD_NRF52DK_NRF52805,boards/arm,bool,boards/arm/nrf52dk_nrf52805/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF52805_CAAA
CONFIG_BOARD_NRF52DK_NRF52810,boards/arm,bool,boards/arm/nrf52dk_nrf52810/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF52810_QFAA
CONFIG_BOARD_NRF52DK_NRF52832,boards/arm,bool,boards/arm/nrf52dk_nrf52832/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF52832_QFAA
CONFIG_BOARD_NRF52_ADAFRUIT_FEATHER,boards/arm,bool,boards/arm/nrf52_adafruit_feather/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF52832_QFAA
CONFIG_BOARD_NRF52_BLENANO2,boards/arm,bool,boards/arm/nrf52_blenano2/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF52832_QFAA
CONFIG_BOARD_NRF52_BSIM,boards/posix,bool,boards/posix/nrf_bsim/Kconfig.board:3,n（隐式）,—,—(未定义/依赖不满足),,Will produce a console Linux process which can be executed natively. It needs the BabbleSim simulator both in compile time and to execute,
CONFIG_BOARD_NRF52_SPARKFUN,boards/arm,bool,boards/arm/nrf52_sparkfun/Kconfig.board:7,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF52832_QFAA
CONFIG_BOARD_NRF52_VBLUNO52,boards/arm,bool,boards/arm/nrf52_vbluno52/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF52832_QFAA
CONFIG_BOARD_NRF5340BSIM_NRF5340_CPUAPP,boards/posix,bool,boards/posix/nrf_bsim/Kconfig.board:23,n（隐式）,—,—(未定义/依赖不满足),,Will produce a console Linux process which can be executed natively. It needs the BabbleSim simulator both in compile time and to execute,
CONFIG_BOARD_NRF5340BSIM_NRF5340_CPUNET,boards/posix,bool,boards/posix/nrf_bsim/Kconfig.board:13,n（隐式）,—,—(未定义/依赖不满足),,Will produce a console Linux process which can be executed natively. It needs the BabbleSim simulator both in compile time and to execute,
CONFIG_BOARD_NRF5340DK_NRF5340_CPUAPP,boards/arm,bool,boards/arm/nrf5340dk_nrf5340/Kconfig.board:8,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_BOARD_NRF5340DK_NRF5340_CPUAPP_NS,boards/arm,bool,boards/arm/nrf5340dk_nrf5340/Kconfig.board:11,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_BOARD_NRF5340DK_NRF5340_CPUNET,boards/arm,bool,boards/arm/nrf5340dk_nrf5340/Kconfig.board:16,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF5340_CPUNET_QKAA
CONFIG_BOARD_NRF5340_AUDIO_DK_NRF5340_CPUAPP,boards/arm,bool,boards/arm/nrf5340_audio_dk_nrf5340/Kconfig.board:8,n（隐式）,—,—(未定义/依赖不满足),,,
