<!--
  【本表定位】全量附录 —— Zephyr 全库 11932 个 Kconfig 符号的机器导出结果，供按名检索。
              需要「决策」信息请看同目录 config.csv（人工精写的 作用 / 备注·约束）。
  【生成方式】由 Kconfig 树文本解析（名称/类型/定义位置/默认值/依赖/help 原文），
              叠加 build/zephyr/.config 的实际取值与手写 .conf 的设置来源。
              重新生成：python3 tools/gen_config_csv.py
  【定义位置】按 AE103 视角优先级排序：本平台(0) > arch/riscv(1) > 内核·子系统(2) > 其他平台(3) > samples/tests(4)。
              同一符号多处定义时，「|」分隔，最前面那处即主定义。
  【默认值】分两列：「主定义处」是优先级最高那处写的 default（该处没写则标注隐式默认）；
            「全部定义处」是所有平台 default 的并集，用于追查同名符号的跨平台差异。
-->
配置项,类别,类型,定义位置(Kconfig:行),默认值(主定义处),默认值(全部定义处),AE103当前值,设置来源,作用(Kconfig help 原文),依赖(depends on)
CONFIG_3RD_LVL_ISR_TBL_OFFSET,drivers/interrupt_controller,int,drivers/interrupt_controller/Kconfig.multilevel:108,0,0,—(未定义/依赖不满足),,"This is the offset in _sw_isr_table, the generated ISR handler table, where storage for 3rd level interrupt ISRs begins. This is typically allocated after ISRs for level 2 interrupts.",3RD_LEVEL_INTERRUPTS
CONFIG_64BIT,arch/Kconfig,bool,arch/Kconfig:179,n（隐式）,—,—(未定义/依赖不满足),,"This option tells the build system that the target system is using a 64-bit address space, meaning that pointer and long types are 64 bits wide. This option is selected by arch/$ARCH/Kconfig, soc/**/Kconfig, or boards/**/Kconfig and the user should generally avoid modifying it.",
CONFIG_A01NYUB,drivers/sensor,bool,drivers/sensor/a01nyub/Kconfig:4,y,y,—(未定义/依赖不满足),,Enable driver for the DFRobot A01NYUB distance sensor.,DT_HAS_DFROBOT_A01NYUB_ENABLED | UART_INTERRUPT_DRIVEN
CONFIG_AARCH32_ARMV8_R,arch/arm,bool,arch/arm/core/cortex_a_r/Kconfig:130,n（隐式）,—,—(未定义/依赖不满足),,This option signifies the use of an ARMv8-R AArch32 processor implementation. From https://developer.arm.com/products/architecture/cpu-architecture/r-profile: The Armv8-R architecture targets at the Real-time profile. It introduces virtualization at the highest security level while retaining the Protected Memory System Architecture (PMSA) based on a Memory Protection Unit (MPU). It supports the A32 and T32 instruction sets.,
CONFIG_AARCH64_IMAGE_HEADER,arch/arm64,bool,arch/arm64/core/Kconfig:118,y if ARM_MMU || ARM_MPU,y if ARM_MMU || ARM_MPU,—(未定义/依赖不满足),,This option enables standard ARM64 boot image header used by Linux and understood by loaders such as u-boot on Xen xl tool.,
CONFIG_ACE_V1X_ART_COUNTER,drivers/counter,bool,drivers/counter/Kconfig.ace:5,y,y,—(未定义/依赖不满足),,DSP ART Wall Clock used by ACE V1X.,DT_HAS_INTEL_ACE_ART_COUNTER_ENABLED
CONFIG_ACE_V1X_RTC_COUNTER,drivers/counter,bool,drivers/counter/Kconfig.ace:12,y,y,—(未定义/依赖不满足),,DSP RTC Wall Clock used by ACE V1X.,DT_HAS_INTEL_ACE_RTC_COUNTER_ENABLED
CONFIG_ACPI,lib/acpi,bool,lib/acpi/Kconfig:6 | modules/acpica/Kconfig:6 | boards/x86/intel_adl/Kconfig.defconfig:32 | boards/x86/intel_rpl/Kconfig.defconfig:31,n（隐式）,y,n(未启用),,This option enables support for ACPI driver.,
CONFIG_ACPI_DEV_MAX,lib/acpi,int,lib/acpi/Kconfig:37,1000,1000,—(未定义/依赖不满足),,maximum acpi child devices.,
CONFIG_ACPI_DSDT_SUPPORT,modules/acpica,bool,modules/acpica/Kconfig:11,y if PCIE,y if PCIE,—(未定义/依赖不满足),,Build source code for DSDT support,
CONFIG_ACPI_IRQ_VECTOR_MAX,lib/acpi,int,lib/acpi/Kconfig:43,32,32,—(未定义/依赖不满足),,Maximum interrupt vectors per device.,
CONFIG_ACPI_MAX_PRT_ENTRY,lib/acpi,int,lib/acpi/Kconfig:19,4096,4096,—(未定义/依赖不满足),,Size of PRT table buffer.,
CONFIG_ACPI_MMIO_ENTRIES_MAX,lib/acpi,int,lib/acpi/Kconfig:49,32,32,—(未定义/依赖不满足),,Maximum MMIO entries per device.,
CONFIG_ACPI_SHELL,lib/acpi,bool,lib/acpi/Kconfig:31,n（隐式）,—,—(未定义/依赖不满足),,Enable commands for debugging ACPI using the built-in shell.,SHELL
CONFIG_ACTINIUS_BOARD_CONTROL_INIT_PRIORITY,boards/common,int,boards/common/actinius/Kconfig:4,99,99,—(未定义/依赖不满足),,Sets the init priority for the Board Control module.,
CONFIG_ADC,drivers/adc,bool,drivers/adc/Kconfig:9,n（隐式）,—,n(未启用),,Enable ADC (Analog to Digital Converter) driver configuration.,
CONFIG_ADC_AD5592,drivers/adc,bool,drivers/adc/Kconfig.ad5592:4,y,y,—(未定义/依赖不满足),,Enable the AD5592 ADC driver.,DT_HAS_ADI_AD5592_ADC_ENABLED
CONFIG_ADC_AD5592_ACQUISITION_THREAD_PRIO,drivers/adc,int,drivers/adc/Kconfig.ad5592:20,0,0,—(未定义/依赖不满足),,Priority level for the internal ADC data acquisition thread.,ADC_AD5592
CONFIG_ADC_AD5592_ACQUISITION_THREAD_STACK_SIZE,drivers/adc,int,drivers/adc/Kconfig.ad5592:12,384,384,—(未定义/依赖不满足),,Size of the stack used for the internal data acquisition thread.,ADC_AD5592
CONFIG_ADC_ADS1112,drivers/adc,bool,drivers/adc/Kconfig.ads1112:6,n（隐式）,—,—(未定义/依赖不满足),,Enable the driver implementation for the ADS1112,DT_HAS_TI_ADS1112_ENABLED
CONFIG_ADC_ADS1119,drivers/adc,bool,drivers/adc/Kconfig.ads1119:6,y,y,—(未定义/依赖不满足),,Enable the driver implementation for the ADS1119,DT_HAS_TI_ADS1119_ENABLED
CONFIG_ADC_ADS1119_ACQUISITION_THREAD_STACK_SIZE,drivers/adc,int,drivers/adc/Kconfig.ads1119:21,400,400,—(未定义/依赖不满足),,Size of the stack used for the internal data acquisition thread.,
